OMNIWeb Plus Browser Results

Listing for omni2_daily data from 19650101 to 20230601
Selected parameters:
 1 f10.7_index

YEAR DOY HR  1     
1965   1  0  82.7
1965   2  0  81.5
1965   3  0  79.4
1965   4  0  78.0
1965   5  0  77.4
1965   6  0  77.7
1965   7  0  75.7
1965   8  0  74.9
1965   9  0  74.1
1965  10  0  73.5
1965  11  0  72.7
1965  12  0  72.6
1965  13  0  72.5
1965  14  0  72.0
1965  15  0  72.4
1965  16  0  71.4
1965  17  0  71.2
1965  18  0  72.1
1965  19  0  71.5
1965  20  0  73.7
1965  21  0  74.1
1965  22  0  74.4
1965  23  0  73.4
1965  24  0  74.1
1965  25  0  73.1
1965  26  0  73.5
1965  27  0  76.8
1965  28  0  75.1
1965  29  0  76.6
1965  30  0  78.6
1965  31  0  77.7
1965  32  0  76.2
1965  33  0  76.8
1965  34  0  76.4
1965  35  0  75.2
1965  36  0  74.1
1965  37  0  74.1
1965  38  0  75.2
1965  39  0  73.4
1965  40  0  73.4
1965  41  0  73.9
1965  42  0  71.8
1965  43  0  71.2
1965  44  0  70.6
1965  45  0  70.1
1965  46  0  70.8
1965  47  0  71.4
1965  48  0  71.6
1965  49  0  70.5
1965  50  0  70.6
1965  51  0  69.8
1965  52  0  70.0
1965  53  0  70.3
1965  54  0  71.5
1965  55  0  72.9
1965  56  0  72.7
1965  57  0  72.3
1965  58  0  74.6
1965  59  0  74.8
1965  60  0  75.1
1965  61  0  74.0
1965  62  0  73.7
1965  63  0  73.8
1965  64  0  74.8
1965  65  0  75.5
1965  66  0  75.8
1965  67  0  73.4
1965  68  0  71.9
1965  69  0  72.1
1965  70  0  70.9
1965  71  0  72.6
1965  72  0  74.6
1965  73  0  73.7
1965  74  0  71.9
1965  75  0  70.5
1965  76  0  70.8
1965  77  0  74.3
1965  78  0  76.3
1965  79  0  73.8
1965  80  0  73.4
1965  81  0  72.1
1965  82  0  72.5
1965  83  0  72.0
1965  84  0  73.4
1965  85  0  73.0
1965  86  0  71.8
1965  87  0  71.4
1965  88  0  71.7
1965  89  0  71.2
1965  90  0  71.4
1965  91  0  71.1
1965  92  0  71.5
1965  93  0  71.3
1965  94  0  71.1
1965  95  0  70.8
1965  96  0  71.0
1965  97  0  70.8
1965  98  0  70.7
1965  99  0  71.9
1965 100  0  73.4
1965 101  0  74.1
1965 102  0  73.7
1965 103  0  74.0
1965 104  0  75.8
1965 105  0  75.5
1965 106  0  75.1
1965 107  0  73.8
1965 108  0  73.7
1965 109  0  74.8
1965 110  0  73.1
1965 111  0  73.7
1965 112  0  73.5
1965 113  0  74.0
1965 114  0  71.6
1965 115  0  70.4
1965 116  0  70.0
1965 117  0  70.2
1965 118  0  70.5
1965 119  0  71.2
1965 120  0  70.9
1965 121  0  72.2
1965 122  0  71.9
1965 123  0  71.9
1965 124  0  70.9
1965 125  0  70.2
1965 126  0  71.7
1965 127  0  72.7
1965 128  0  73.4
1965 129  0  73.8
1965 130  0  73.5
1965 131  0  72.5
1965 132  0  73.3
1965 133  0  76.0
1965 134  0  77.0
1965 135  0  82.3
1965 136  0  88.3
1965 137  0  93.2
1965 138  0  92.6
1965 139  0  94.6
1965 140  0  97.0
1965 141  0  95.1
1965 142  0  94.5
1965 143  0  88.4
1965 144  0  87.3
1965 145  0  83.1
1965 146  0  80.0
1965 147  0  78.1
1965 148  0  76.5
1965 149  0  75.8
1965 150  0  76.1
1965 151  0  73.6
1965 152  0  72.8
1965 153  0  75.8
1965 154  0  77.4
1965 155  0  80.5
1965 156  0  80.6
1965 157  0  80.7
1965 158  0  79.5
1965 159  0  80.7
1965 160  0  81.4
1965 161  0  80.7
1965 162  0  78.9
1965 163  0  78.4
1965 164  0  79.2
1965 165  0  78.5
1965 166  0  79.1
1965 167  0  78.4
1965 168  0  78.7
1965 169  0  80.8
1965 170  0  77.4
1965 171  0  78.5
1965 172  0  78.4
1965 173  0  80.7
1965 174  0  82.8
1965 175  0  80.7
1965 176  0  81.9
1965 177  0  81.4
1965 178  0  80.3
1965 179  0  79.3
1965 180  0  79.0
1965 181  0  79.6
1965 182  0  78.6
1965 183  0  78.2
1965 184  0  78.8
1965 185  0  78.5
1965 186  0  78.0
1965 187  0  81.2
1965 188  0  84.3
1965 189  0  83.8
1965 190  0  84.1
1965 191  0  83.0
1965 192  0  82.6
1965 193  0  80.8
1965 194  0  78.8
1965 195  0  77.2
1965 196  0  77.0
1965 197  0  74.5
1965 198  0  74.3
1965 199  0  74.3
1965 200  0  74.9
1965 201  0  75.4
1965 202  0  75.0
1965 203  0  73.9
1965 204  0  73.2
1965 205  0  72.4
1965 206  0  72.3
1965 207  0  71.7
1965 208  0  72.3
1965 209  0  72.9
1965 210  0  73.4
1965 211  0  73.4
1965 212  0  73.0
1965 213  0  74.2
1965 214  0  75.2
1965 215  0  79.6
1965 216  0  80.7
1965 217  0  78.5
1965 218  0  81.1
1965 219  0  81.8
1965 220  0  79.5
1965 221  0  79.8
1965 222  0  78.2
1965 223  0  78.8
1965 224  0  77.9
1965 225  0  76.7
1965 226  0  75.6
1965 227  0  74.4
1965 228  0  75.6
1965 229  0  74.2
1965 230  0  75.0
1965 231  0  76.1
1965 232  0  75.5
1965 233  0  75.3
1965 234  0  74.6
1965 235  0  74.6
1965 236  0  74.3
1965 237  0  73.8
1965 238  0  73.5
1965 239  0  76.0
1965 240  0  74.7
1965 241  0  75.7
1965 242  0  76.4
1965 243  0  76.3
1965 244  0  76.8
1965 245  0  77.3
1965 246  0  77.9
1965 247  0  78.0
1965 248  0  80.0
1965 249  0  78.3
1965 250  0  78.9
1965 251  0  79.8
1965 252  0  77.2
1965 253  0  76.7
1965 254  0  76.7
1965 255  0  76.3
1965 256  0  75.9
1965 257  0  76.1
1965 258  0  75.7
1965 259  0  74.5
1965 260  0  74.5
1965 261  0  73.7
1965 262  0  73.4
1965 263  0  73.4
1965 264  0  73.1
1965 265  0  71.7
1965 266  0  72.3
1965 267  0  76.6
1965 268  0  76.2
1965 269  0  77.4
1965 270  0  78.7
1965 271  0  80.8
1965 272  0  87.6
1965 273  0  89.3
1965 274  0  92.2
1965 275  0  93.3
1965 276  0  96.1
1965 277  0  97.5
1965 278  0  91.6
1965 279  0  85.1
1965 280  0  83.5
1965 281  0  82.6
1965 282  0  83.0
1965 283  0  80.1
1965 284  0  75.7
1965 285  0  74.5
1965 286  0  75.4
1965 287  0  74.3
1965 288  0  73.3
1965 289  0  71.8
1965 290  0  72.0
1965 291  0  71.6
1965 292  0  71.2
1965 293  0  72.0
1965 294  0  72.6
1965 295  0  75.4
1965 296  0  77.9
1965 297  0  75.5
1965 298  0  77.0
1965 299  0  77.3
1965 300  0  77.0
1965 301  0  76.2
1965 302  0  75.6
1965 303  0  75.1
1965 304  0  76.9
1965 305  0  77.6
1965 306  0  78.2
1965 307  0  79.8
1965 308  0  78.4
1965 309  0  76.7
1965 310  0  79.2
1965 311  0  83.7
1965 312  0  78.9
1965 313  0  80.4
1965 314  0  82.4
1965 315  0  82.5
1965 316  0  79.1
1965 317  0  75.7
1965 318  0  74.4
1965 319  0  74.8
1965 320  0  72.4
1965 321  0  72.6
1965 322  0  73.3
1965 323  0  71.6
1965 324  0  70.9
1965 325  0  70.5
1965 326  0  70.0
1965 327  0  69.5
1965 328  0  69.3
1965 329  0  68.8
1965 330  0  69.9
1965 331  0  72.1
1965 332  0  74.9
1965 333  0  71.9
1965 334  0  73.0
1965 335  0  73.3
1965 336  0  72.9
1965 337  0  72.7
1965 338  0  72.3
1965 339  0  73.2
1965 340  0  74.0
1965 341  0  73.0
1965 342  0  74.4
1965 343  0  72.7
1965 344  0  73.0
1965 345  0  73.2
1965 346  0  73.5
1965 347  0  71.7
1965 348  0  72.4
1965 349  0  74.4
1965 350  0  75.1
1965 351  0  75.9
1965 352  0  75.9
1965 353  0  74.3
1965 354  0  72.1
1965 355  0  71.7
1965 356  0  70.0
1965 357  0  70.3
1965 358  0  68.8
1965 359  0  69.7
1965 360  0  74.4
1965 361  0  80.9
1965 362  0  81.0
1965 363  0  81.9
1965 364  0  79.2
1965 365  0  78.1
1966   1  0  79.3
1966   2  0  76.3
1966   3  0  75.9
1966   4  0  77.8
1966   5  0  77.4
1966   6  0  77.1
1966   7  0  78.2
1966   8  0  77.9
1966   9  0  77.4
1966  10  0  77.2
1966  11  0  78.2
1966  12  0  81.2
1966  13  0  84.3
1966  14  0  90.1
1966  15  0  98.5
1966  16  0 102.6
1966  17  0  98.4
1966  18  0 101.4
1966  19  0 105.1
1966  20  0  99.0
1966  21  0  95.7
1966  22  0  91.8
1966  23  0  90.6
1966  24  0  88.9
1966  25  0  85.4
1966  26  0  82.7
1966  27  0  79.9
1966  28  0  78.1
1966  29  0  78.3
1966  30  0  76.3
1966  31  0  75.4
1966  32  0  77.6
1966  33  0  76.9
1966  34  0  77.5
1966  35  0  79.0
1966  36  0  80.6
1966  37  0  82.1
1966  38  0  82.8
1966  39  0  82.3
1966  40  0  82.9
1966  41  0  83.8
